'add-product','Add a new product to the system'
'change-password','Change own password'
'checkout','Handle a customer\'s order'
'delete-product','Delete a product from the system (only works if the product has not been used)'
'download-dump','Download a CSV dump of the database'
'edit-acl','Make modifications to the ACL'
'edit-product','Edit a product\'s information and stock'
'login','Login to the system'
'past-orders','View and modify past orders'
'user-add','Add new users to the system'
